epoch,train_loss,val_mIoU,best_iou,epoch_time_s
1,0.687180,0.018416,0.018416,114.36
2,0.527413,0.022793,0.022793,47.27
3,0.470335,0.047292,0.047292,47.83
4,0.434562,0.258455,0.258455,51.60
5,0.394518,0.163653,0.258455,56.35
6,0.365928,0.068482,0.258455,56.36
7,0.327826,0.000808,0.258455,41.21
8,0.275399,0.000008,0.258455,41.65
9,0.232226,0.409553,0.409553,39.45
10,0.200095,0.480882,0.480882,33.30
11,0.180047,0.496063,0.496063,40.20
12,0.170239,0.624724,0.624724,33.69
13,0.158747,0.638552,0.638552,32.77
14,0.158149,0.577675,0.638552,31.98
15,0.150557,0.617363,0.638552,31.80
16,0.144494,0.440364,0.638552,30.14
17,0.145540,0.543293,0.638552,35.07
18,0.142116,0.588868,0.638552,36.03
19,0.135835,0.551371,0.638552,38.30
20,0.135409,0.626168,0.638552,30.61
21,0.130414,0.586106,0.638552,30.11
22,0.129854,0.632553,0.638552,33.46
23,0.127243,0.624208,0.638552,29.25
24,0.128032,0.662988,0.662988,33.29
25,0.126127,0.682398,0.682398,29.61
26,0.121110,0.645444,0.682398,30.17
27,0.125711,0.480939,0.682398,38.33
28,0.122825,0.383504,0.682398,30.27
29,0.123722,0.605696,0.682398,30.14
30,0.120191,0.500628,0.682398,36.22
31,0.118211,0.577389,0.682398,32.83
32,0.121177,0.587511,0.682398,33.48
33,0.121458,0.634049,0.682398,33.41
34,0.114846,0.634615,0.682398,29.58
35,0.114622,0.500915,0.682398,37.11
36,0.119264,0.600244,0.682398,30.58
37,0.118188,0.614352,0.682398,31.16
38,0.120652,0.591921,0.682398,33.68
39,0.114878,0.616356,0.682398,29.09
40,0.113188,0.659771,0.682398,29.39
41,0.113801,0.669588,0.682398,29.97
42,0.112857,0.614894,0.682398,30.76
43,0.116015,0.510501,0.682398,29.71
44,0.119860,0.670384,0.682398,29.68
45,0.114346,0.613854,0.682398,34.01
46,0.109917,0.557794,0.682398,32.33
47,0.112088,0.551184,0.682398,36.69
48,0.107549,0.518136,0.682398,29.55
49,0.112428,0.646778,0.682398,30.11
50,0.111388,0.587363,0.682398,33.48
51,0.111889,0.653303,0.682398,32.78
52,0.108970,0.518557,0.682398,35.86
53,0.106542,0.650972,0.682398,30.02
54,0.106740,0.663610,0.682398,29.70
55,0.121497,0.595823,0.682398,34.33
56,0.114112,0.668811,0.682398,30.81
57,0.107578,0.655348,0.682398,31.26
58,0.106502,0.667793,0.682398,29.32
59,0.109385,0.615443,0.682398,33.93
60,0.104456,0.568548,0.682398,34.34
61,0.105828,0.695176,0.695176,28.48
62,0.105803,0.557849,0.695176,32.95
63,0.104946,0.356012,0.695176,38.84
64,0.104354,0.661523,0.695176,29.15
65,0.107405,0.522787,0.695176,30.29
66,0.104817,0.665325,0.695176,29.23
67,0.102775,0.579262,0.695176,33.10
68,0.102917,0.676411,0.695176,30.41
69,0.104899,0.633936,0.695176,32.65
70,0.104331,0.623281,0.695176,32.34
71,0.105976,0.611983,0.695176,32.08
72,0.102339,0.510515,0.695176,33.54
73,0.104439,0.539508,0.695176,29.55
74,0.100335,0.573830,0.695176,29.51
75,0.100891,0.589457,0.695176,35.11
76,0.097765,0.600056,0.695176,28.99
77,0.099743,0.509528,0.695176,39.76
78,0.099126,0.574402,0.695176,32.75
79,0.103251,0.608576,0.695176,31.09
80,0.100898,0.498957,0.695176,29.67
