epoch,train_loss,val_mIoU_seg,val_mIoU_obb,best_iou_seg,epoch_time_s
1,0.239335,0.073184,0.010363,0.073184,291.82
2,0.143781,0.381985,0.361996,0.381985,129.42
3,0.109944,0.542303,0.526493,0.542303,108.00
4,0.092219,0.619025,0.585417,0.619025,96.05
5,0.080248,0.631202,0.602628,0.631202,96.32
6,0.070252,0.597115,0.587960,0.631202,97.62
7,0.061730,0.692850,0.651398,0.692850,95.12
8,0.053501,0.681078,0.639566,0.692850,95.49
9,0.046269,0.730286,0.676338,0.730286,94.37
10,0.039362,0.727788,0.678389,0.730286,95.00
11,0.033123,0.723673,0.672766,0.730286,94.96
12,0.027519,0.755257,0.694771,0.755257,94.27
13,0.022991,0.746350,0.697693,0.755257,94.86
14,0.019458,0.749472,0.714173,0.755257,94.90
15,0.016940,0.661865,0.671499,0.755257,96.43
16,0.014672,0.797850,0.734730,0.797850,94.21
17,0.012732,0.713342,0.702542,0.797850,95.10
18,0.011797,0.800081,0.762094,0.800081,93.66
19,0.010843,0.787280,0.748987,0.800081,93.87
20,0.010166,0.819519,0.751474,0.819519,93.52
21,0.009941,0.819319,0.760714,0.819519,93.77
22,0.009526,0.817976,0.760418,0.819519,93.79
23,0.008935,0.825695,0.772979,0.825695,94.12
24,0.008808,0.859035,0.798714,0.859035,93.68
25,0.008616,0.848379,0.790374,0.859035,93.74
26,0.007923,0.826980,0.746923,0.859035,94.00
27,0.008147,0.855368,0.768978,0.859035,93.89
28,0.007952,0.839160,0.767522,0.859035,95.79
29,0.007856,0.854668,0.771281,0.859035,94.44
30,0.007569,0.872886,0.794448,0.872886,94.59
31,0.007213,0.857927,0.798009,0.872886,94.22
32,0.007030,0.853283,0.784183,0.872886,94.18
33,0.007275,0.864060,0.789321,0.872886,94.28
34,0.006938,0.861463,0.767914,0.872886,94.24
35,0.006664,0.816839,0.764065,0.872886,95.18
36,0.006613,0.850739,0.778910,0.872886,94.70
37,0.006774,0.872147,0.790433,0.872886,94.16
38,0.006444,0.840173,0.766177,0.872886,93.93
39,0.006323,0.878129,0.797807,0.878129,93.98
40,0.006443,0.832789,0.774896,0.878129,94.47
41,0.006336,0.860903,0.766380,0.878129,93.71
42,0.006255,0.850700,0.771737,0.878129,94.74
43,0.006032,0.902716,0.815792,0.902716,94.65
44,0.005921,0.838528,0.791565,0.902716,94.27
45,0.006181,0.885867,0.795900,0.902716,94.28
46,0.005758,0.886971,0.809135,0.902716,94.04
47,0.005627,0.891748,0.810403,0.902716,94.06
48,0.005757,0.904890,0.829417,0.904890,93.86
49,0.005457,0.843977,0.742092,0.904890,94.06
50,0.005698,0.810871,0.796244,0.904890,94.74
51,0.005245,0.867849,0.775164,0.904890,94.13
52,0.005531,0.904684,0.826130,0.904890,93.66
53,0.005491,0.896685,0.819560,0.904890,94.18
54,0.005582,0.885808,0.820515,0.904890,93.92
55,0.005119,0.895817,0.819853,0.904890,93.94
56,0.005205,0.875791,0.816035,0.904890,94.56
57,0.005308,0.898178,0.816865,0.904890,94.14
58,0.005180,0.897647,0.815555,0.904890,94.55
59,0.005009,0.899463,0.808202,0.904890,93.05
60,0.005068,0.873610,0.804073,0.904890,93.44
61,0.004902,0.894307,0.815333,0.904890,96.14
62,0.004760,0.890832,0.799694,0.904890,93.73
63,0.004935,0.912183,0.820477,0.912183,93.53
64,0.004936,0.892185,0.804605,0.912183,93.54
65,0.004796,0.896679,0.821217,0.912183,93.71
66,0.004735,0.899089,0.829358,0.912183,93.43
67,0.004748,0.905447,0.820691,0.912183,93.71
68,0.004861,0.902884,0.821093,0.912183,93.99
69,0.004854,0.895943,0.825279,0.912183,93.91
70,0.004711,0.899071,0.828439,0.912183,94.01
71,0.004574,0.896614,0.812784,0.912183,93.63
72,0.004599,0.890513,0.801245,0.912183,93.92
73,0.004763,0.913464,0.836854,0.913464,93.00
74,0.004495,0.890255,0.819050,0.913464,93.15
75,0.004530,0.907105,0.814139,0.913464,93.14
76,0.004291,0.920497,0.830878,0.920497,92.85
77,0.004415,0.904629,0.825323,0.920497,93.61
78,0.004452,0.875090,0.807901,0.920497,93.65
79,0.004545,0.906450,0.819404,0.920497,93.29
80,0.004514,0.896673,0.813326,0.920497,93.27
81,0.004413,0.883278,0.811647,0.920497,93.77
82,0.004453,0.898042,0.810006,0.920497,94.25
83,0.004298,0.880513,0.811923,0.920497,94.09
84,0.004191,0.890324,0.818156,0.920497,93.98
85,0.004175,0.911460,0.830949,0.920497,94.15
86,0.004182,0.900700,0.820956,0.920497,94.17
87,0.004310,0.896309,0.820425,0.920497,93.35
88,0.004143,0.906396,0.827515,0.920497,93.68
89,0.004263,0.903819,0.821264,0.920497,93.46
90,0.004051,0.917280,0.823559,0.920497,93.46
91,0.004214,0.903456,0.821369,0.920497,93.39
92,0.004065,0.893731,0.826126,0.920497,94.49
93,0.004098,0.886963,0.821730,0.920497,94.56
94,0.003963,0.906392,0.827209,0.920497,93.30
95,0.003929,0.908049,0.825321,0.920497,93.80
96,0.003932,0.906308,0.827339,0.920497,94.17
97,0.004181,0.922033,0.834721,0.922033,94.08
98,0.003854,0.904609,0.819344,0.922033,94.17
99,0.003944,0.905952,0.828729,0.922033,93.94
100,0.003951,0.893454,0.819724,0.922033,94.54
101,0.003983,0.890764,0.824576,0.922033,93.27
102,0.003867,0.890321,0.837183,0.922033,93.26
103,0.003829,0.860824,0.811846,0.922033,93.75
104,0.003882,0.899475,0.833014,0.922033,94.28
105,0.003749,0.906985,0.831720,0.922033,93.46
106,0.003864,0.898544,0.826627,0.922033,93.95
107,0.003854,0.903287,0.827297,0.922033,94.03
108,0.003619,0.901244,0.823123,0.922033,94.49
109,0.003871,0.897944,0.825069,0.922033,94.07
110,0.003733,0.898309,0.823157,0.922033,94.50
111,0.003861,0.899535,0.829637,0.922033,94.63
112,0.003741,0.885016,0.827462,0.922033,94.19
113,0.003660,0.883217,0.821328,0.922033,94.41
114,0.003726,0.903365,0.829290,0.922033,94.23
115,0.003684,0.887091,0.823308,0.922033,93.78
116,0.003679,0.909567,0.828928,0.922033,94.08
117,0.003698,0.878550,0.820667,0.922033,94.61
118,0.003538,0.899800,0.829002,0.922033,94.20
119,0.003557,0.889966,0.831789,0.922033,94.26
120,0.003655,0.902023,0.828725,0.922033,94.00
121,0.003538,0.889383,0.825372,0.922033,93.86
122,0.003657,0.895524,0.830195,0.922033,94.35
123,0.003588,0.884627,0.824416,0.922033,94.21
124,0.003476,0.898810,0.827968,0.922033,94.24
125,0.003544,0.894029,0.829007,0.922033,94.46
126,0.003351,0.888510,0.828864,0.922033,95.38
127,0.003717,0.898043,0.830341,0.922033,94.42
128,0.003548,0.882029,0.827774,0.922033,94.70
129,0.003583,0.903104,0.829680,0.922033,95.05
130,0.003366,0.903214,0.829109,0.922033,94.41
131,0.003640,0.900958,0.832413,0.922033,94.65
132,0.003482,0.888611,0.830235,0.922033,94.79
133,0.003436,0.920789,0.836800,0.922033,94.17
134,0.003492,0.885183,0.828542,0.922033,94.54
135,0.003386,0.888470,0.830127,0.922033,94.51
136,0.003295,0.898424,0.828211,0.922033,94.02
137,0.003427,0.911652,0.833792,0.922033,93.94
138,0.003408,0.899418,0.829588,0.922033,94.14
139,0.003333,0.903779,0.830786,0.922033,93.80
140,0.003384,0.895127,0.828665,0.922033,94.04
141,0.003393,0.898054,0.829550,0.922033,94.30
142,0.003443,0.901542,0.829765,0.922033,94.02
143,0.003508,0.893679,0.829506,0.922033,93.10
144,0.003287,0.894530,0.828092,0.922033,93.49
145,0.003399,0.910656,0.831539,0.922033,93.10
146,0.003425,0.894151,0.828972,0.922033,93.35
147,0.003406,0.909233,0.831578,0.922033,93.25
148,0.003409,0.894650,0.828558,0.922033,93.31
149,0.003449,0.902762,0.830338,0.922033,92.85
150,0.003451,0.893148,0.827626,0.922033,93.01
