epoch,train_loss,val_mIoU_seg,val_mIoU_obb,best_iou_seg,epoch_time_s
1,0.184457,0.034238,0.001168,0.034238,139.71
2,0.109541,0.042134,0.003372,0.042134,100.38
3,0.077670,0.139502,0.086877,0.139502,97.92
4,0.056062,0.347435,0.399055,0.347435,101.65
5,0.040186,0.528344,0.572891,0.528344,92.18
6,0.029152,0.584056,0.574139,0.584056,89.82
7,0.026150,0.582504,0.561868,0.584056,87.89
8,0.024404,0.509122,0.550736,0.584056,82.24
9,0.023046,0.595881,0.616951,0.595881,82.07
10,0.021543,0.652432,0.658908,0.652432,90.44
11,0.021184,0.440058,0.499426,0.652432,96.56
12,0.020366,0.618527,0.691343,0.652432,82.23
13,0.019896,0.499818,0.552353,0.652432,104.23
14,0.019879,0.639018,0.644428,0.652432,86.52
15,0.019207,0.624319,0.626012,0.652432,88.73
16,0.018953,0.645427,0.683661,0.652432,83.23
17,0.018278,0.540788,0.540366,0.652432,92.21
18,0.017999,0.506870,0.503204,0.652432,96.15
19,0.018068,0.616857,0.643270,0.652432,94.81
20,0.017394,0.687927,0.722821,0.687927,85.42
21,0.017879,0.557839,0.592587,0.687927,97.55
22,0.016977,0.737864,0.725269,0.737864,82.17
23,0.016907,0.696459,0.725678,0.737864,82.46
24,0.016989,0.665351,0.673219,0.737864,85.72
25,0.016355,0.735160,0.727146,0.737864,82.22
26,0.016649,0.633991,0.656167,0.737864,89.41
27,0.016461,0.693486,0.696107,0.737864,90.14
28,0.016076,0.644982,0.655373,0.737864,93.73
29,0.015929,0.583343,0.601170,0.737864,95.56
30,0.016019,0.612105,0.613386,0.737864,96.04
31,0.015704,0.452931,0.500839,0.737864,103.59
32,0.015508,0.690883,0.690898,0.737864,88.37
33,0.015865,0.654773,0.636085,0.737864,87.61
34,0.015607,0.714009,0.711516,0.737864,87.99
35,0.015074,0.562868,0.573345,0.737864,92.82
36,0.015173,0.702487,0.691033,0.737864,88.19
37,0.015008,0.749606,0.740832,0.749606,83.60
38,0.015620,0.691177,0.666093,0.749606,87.40
39,0.014857,0.565210,0.579463,0.749606,90.48
40,0.014797,0.713405,0.664597,0.749606,85.09
41,0.014543,0.582484,0.593848,0.749606,92.91
42,0.014666,0.665343,0.651165,0.749606,89.55
43,0.014619,0.527393,0.553500,0.749606,95.60
44,0.014507,0.733670,0.701092,0.749606,85.46
45,0.014897,0.751331,0.723622,0.751331,81.65
46,0.014528,0.748036,0.721464,0.751331,82.76
47,0.014544,0.646287,0.627269,0.751331,91.15
48,0.014316,0.669289,0.657993,0.751331,90.37
49,0.014257,0.690018,0.701814,0.751331,90.59
50,0.014071,0.779902,0.732422,0.779902,80.54
51,0.014012,0.732382,0.717748,0.779902,84.64
52,0.013840,0.748451,0.730823,0.779902,84.24
53,0.014085,0.751390,0.737088,0.779902,79.79
54,0.013769,0.730464,0.743469,0.779902,82.94
55,0.013963,0.724516,0.704367,0.779902,87.32
56,0.013724,0.742696,0.717431,0.779902,82.78
57,0.013750,0.724551,0.685179,0.779902,85.28
58,0.014148,0.754322,0.696257,0.779902,83.95
59,0.013719,0.697050,0.669225,0.779902,88.14
60,0.013604,0.742450,0.728725,0.779902,83.63
61,0.013845,0.652244,0.638874,0.779902,90.65
62,0.013695,0.683791,0.675433,0.779902,88.29
63,0.013457,0.744347,0.710599,0.779902,84.47
64,0.013533,0.740812,0.702427,0.779902,83.55
65,0.013311,0.677184,0.675889,0.779902,85.85
66,0.013332,0.717723,0.688241,0.779902,87.34
67,0.013654,0.607341,0.609091,0.779902,90.10
68,0.013419,0.699270,0.663208,0.779902,87.37
69,0.013457,0.649670,0.644210,0.779902,93.27
70,0.013439,0.776848,0.745159,0.779902,82.11
71,0.013032,0.740997,0.710500,0.779902,85.58
72,0.013382,0.686329,0.669615,0.779902,86.29
73,0.013218,0.752444,0.735455,0.779902,82.94
74,0.013170,0.708463,0.677637,0.779902,86.08
75,0.012989,0.760295,0.725599,0.779902,83.48
76,0.013199,0.749027,0.723182,0.779902,84.43
77,0.012759,0.688085,0.694548,0.779902,88.86
78,0.013226,0.733099,0.687982,0.779902,85.46
79,0.012939,0.746736,0.723062,0.779902,84.69
80,0.013138,0.718504,0.697607,0.779902,88.75
81,0.012795,0.771793,0.736727,0.779902,83.43
82,0.012774,0.735529,0.733002,0.779902,85.35
83,0.012816,0.747659,0.711320,0.779902,82.27
84,0.012724,0.733006,0.702709,0.779902,86.54
85,0.012522,0.752442,0.739299,0.779902,80.83
86,0.012507,0.768495,0.734542,0.779902,82.25
87,0.012459,0.782692,0.755966,0.782692,80.20
88,0.012500,0.752524,0.712987,0.782692,84.44
89,0.012718,0.767798,0.725292,0.782692,82.87
90,0.012880,0.733841,0.694888,0.782692,86.45
91,0.012569,0.765442,0.735854,0.782692,82.95
92,0.012513,0.683110,0.675315,0.782692,88.93
93,0.012352,0.754155,0.730604,0.782692,85.18
94,0.012305,0.619276,0.622665,0.782692,90.62
